# Attach there is a file with the values of the sky in mag/arcsec^2, 
# the FWHM (arcsec) of the moffat PSF and the beta value for the three bands. The
# order of the band is always g,r,i. The SDSS plate scale is 0.396127 ASEC/PIX
#
#galaxy	       skyg            skyr            skyi           fwhmg        fwhmr        fwhmi        betag        betar        betai
NGC5957       22.132281       20.967036       19.835680      1.15236     0.966240     0.887040      6.54000      7.22000      5.82000
NGC5971       22.302458       21.287732       20.168338      1.19988      1.15236      1.07316      7.05000      4.57000      4.86000
IC4566       21.961713       20.960870       20.399523      1.31868      1.22364      1.14048      4.01000      5.15000      6.52000
NGC5980       22.123656       20.894727       19.905724      1.62756      1.01772     0.942480      3.80000      8.95000      5.10000
NGC6004       22.057814       21.064377       20.193826      1.33848      1.13256      1.07316      4.95000      3.93000      4.25000
UGC10097       22.175579       21.174626       20.327615      1.40580      1.56420      1.40976      4.46000      4.43000      5.07000
NGC6020       22.193196       20.817346       20.010745      1.08504      1.10880     0.914760      4.63000      6.54000      4.43000
NGC6021       22.248554       21.443126       20.778715      1.13256      1.11276      1.02564      4.41000      10.3000      5.09000
NGC6021       22.248554       21.443126       20.778715      1.13256      1.11276      1.02564      4.41000      10.3000      5.09000
IC1151       22.183594       21.319572       20.556607      1.18800      1.22760      1.46520      3.50000      5.50000      8.50000
NGC6032       22.082145       21.133198       20.592994      1.19592     0.993960     0.950400      4.46000      4.50000      5.47000
NGC6060       22.071008       21.123236       20.581771      1.06128     0.958320     0.875160      6.09000      5.42000      4.03000
NGC6063       21.859340       21.039024       20.636042      1.30680      1.17216     0.986040      6.14000      6.97000      5.08000
IC1199       22.102014       21.236070       20.656442     0.930600     0.867240      1.29096      3.74000      5.14000      4.00000
NGC6125       21.602973       21.240160       20.428731      1.06920      1.14444     0.970200      5.90000      4.20000      3.90000
UGC10337       21.801153       20.998776       20.629618      1.27116     0.962280     0.974160      5.25000      5.21000      5.13000
NGC6132       22.089373       21.161711       20.316245     0.938520     0.910800     0.827640      4.81000      5.69000      6.99000
NGC6146       22.103958       21.241976       20.385532      1.00584     0.894960     0.815760      4.33000      3.33000      10.4000
NGC6154       22.080102       20.995505       20.195918      1.08504     0.970200      1.20780      7.05000      3.88000      6.40000
NGC6150       21.834620       20.898702       20.224037      1.26720      1.14444      1.05732      2.51000      3.75000      9.97000
NGC6155       22.070667       21.046428       20.417324      1.22760      1.22760      1.22760      5.10000      6.20000      6.40000
UGC10388       22.267054       21.344096       20.560507      1.59588      1.23156      1.18404      4.02000      2.98000      3.09000
NGC6173       22.163648       21.208905       20.349116      1.38996      1.34640      1.38600      3.40000      2.90000      4.10000
NGC6173       22.163648       21.208905       20.349116      1.38996      1.34640      1.38600      3.40000      2.90000      4.10000
NGC6186       22.106932       21.189955       20.525395      1.02960     0.950400     0.910800      5.60000      5.50000      5.90000
NGC6278       21.473091       21.166085       20.822790      1.44144      1.44144      1.44144      2.69000      2.69000      2.69000
UGC10693       22.005176       21.133653       20.228638      1.15632     0.879120     0.954360      4.56000      4.26000      5.20000
UGC10693       22.005176       21.133653       20.228638      1.15632     0.879120     0.954360      4.56000      4.26000      5.20000
UGC10695       22.163545       21.246690       20.581183      1.12464      1.02960      1.12860      4.08000      2.98000      3.00000
NGC6301       22.159076       21.281246       20.569951      1.04544     0.914760     0.887040      3.04000      5.21000      4.27000
NGC6314       21.867448       20.849927       20.111048      1.73448      1.63548      1.37808      3.90000      4.64000      4.08000
UGC10796       21.999998       20.944040       20.317083      1.94040      1.78200      1.66320      5.30000      5.20000      4.50000
UGC10811       22.134514       21.097401       20.272182      1.37412      1.28700      1.31472      4.17000      4.58000      11.1700
IC1256       22.162811       21.299358       20.607767      1.50480      1.05336      1.03752      4.97000      4.38000      4.41000
NGC6394       21.181900       20.829063       20.531764      1.48896      1.48896      1.48896      5.04000      5.04000      5.04000
UGC10905       22.209692       21.166731       20.512445      1.20384      1.11276      1.02168      4.61000      3.64000      2.64000
UGC10905       22.209692       21.166731       20.512445      1.20384      1.11276      1.02168      4.61000      3.64000      2.64000
NGC6411       21.698473       20.729845       20.195793     0.966240     0.863280     0.807840      5.70000      6.40000      3.60000
NGC6427       22.235956       21.165962       20.485020      1.15632      1.07712      1.04148      5.01000      7.62000      9.90000
NGC6478       21.754471       20.725343       20.036136      1.30680      1.22760      1.20780      2.90000      4.80000      6.80000
NGC6497       21.766506       20.767724       20.183006      1.20780     0.807840     0.946440      3.90000      4.14000      6.28000
NGC6515       21.695410       20.663138       20.096870      1.00980     0.811800     0.807840      1.99000      1.83000      3.60000
UGC11228       22.191355       21.337611       20.276575      1.11672      1.17216      1.23552      2.55000      2.88000      2.59000
UGC11262       22.372869       21.303801       20.197035     0.962280     0.918720     0.922680      4.65000      3.51000      7.90000
NGC6762       22.126060       21.077677       20.385930      1.06920      1.06920     0.934560      4.07000      4.72000      5.02000
MCG-02-51-004       21.669104       20.904290       20.213056     0.997920      1.00980      1.04544      4.97000      5.16000      5.28000
NGC6941       21.692863       20.549474       19.787144      1.02960      1.00584      1.13256      6.32000      7.08000      6.66000
NGC6945       21.547936       20.737138       20.114275      1.09692      1.06128      1.01376      4.12000      2.57000      3.43000
NGC6978       21.644056       20.510314       19.659961      1.22760      1.14840     0.831600      5.70000      4.10000      6.10000
UGC11649       21.563961       20.691748       20.044483      1.02564     0.902880     0.811800      6.42000      5.19000      4.58000
NGC7047       21.592743       20.697267       20.040181      1.14048     0.811800     0.756360      4.66000      4.18000      4.88000
UGC11740       21.695045       20.799305       20.163909      1.15236     0.978120      1.06920      5.49000      5.96000      5.17000
NGC7194       21.624207       20.786428       20.149476     0.950400     0.720720     0.760320      4.52000      3.61000      5.05000
NGC7194       21.624207       20.786428       20.149476     0.950400     0.720720     0.760320      4.52000      3.61000      5.05000
NGC7311       22.008849       21.093672       20.398878     0.835560     0.835560     0.795960      2.03000      3.99000      4.14000
NGC7321       21.919324       21.181146       20.710722      1.44540      1.28700      1.20780      2.60000      3.50000      3.30000
UGC12127       22.045123       21.070702       20.091492      1.50084      1.23948      1.12860      2.32000      3.94000      3.37000
UGC12127       22.045123       21.070702       20.091492      1.50084      1.23948      1.12860      2.32000      3.94000      3.37000
NGC7364       21.778150       20.753621       20.040669      1.18800     0.997920     0.891000      5.90000      6.50000      4.50000
UGC12185       20.729452       21.105919       20.169440      1.40580      1.35432      1.21176      4.00000      3.56000      3.82000
UGC12224       22.041494       20.978188       20.199498      1.05336     0.974160     0.926640      3.71000      3.17000      4.28000
UGC12274       22.250415       21.290692       20.515887      1.18800     0.986040     0.906840      6.39000      5.65000      5.63000
NGC7466       22.292752       21.303013       20.543609      1.02168      1.07316      1.03752      4.11000      5.35000      5.82000
UGC12348       21.539447       20.671759       19.932867      1.33452      1.14444      1.10088      5.09000      5.12000      3.32000
NGC7489       22.183320       21.209864       20.569004      1.05336      1.10880     0.993960      5.90000      3.64000      5.48000
NGC7536       21.666164       20.727958       19.953433      1.08900     0.922680     0.839520      3.93000      3.98000      2.81000
NGC7550       22.154979       21.142341       20.380407      1.59192      1.28700      1.26324      3.00000      2.18000      3.65000
NGC7549       22.151311       21.143542       20.383780      1.36620      1.33056      1.26324      5.01000      3.76000      3.13000
NGC7563       21.622913       20.742700       20.031864     0.950400     0.871200      1.18800      4.50000      6.50000      7.00000
NGC7562       21.849552       20.866590       20.067331      1.02564     0.954360     0.978120      4.14000      6.48000      8.10000
NGC7562       21.849552       20.866590       20.067331      1.02564     0.954360     0.978120      4.14000      6.48000      8.10000
NGC7591       22.073878       21.204371       20.574659     0.914760     0.673200     0.704880      4.75000      2.91000      3.58000
UGC12494       21.765904       21.022582       20.516465     0.906840     0.760320     0.693000      4.67000      7.06000      5.83000
IC5309       21.791921       21.055557       20.514424     0.910800     0.934560      1.00584      4.30000      4.50000      6.80000
NGC7611       21.850538       20.864169       20.095639      1.10088      1.02960     0.918720      4.46000      6.64000      4.67000
NGC7619       21.783932       21.048483       20.510329     0.966240     0.958320      1.12068      9.60000      12.0000      4.78000
NGC7623       21.867856       20.880001       20.103327      1.10880      1.01772      1.06920      4.27000      6.00000      8.02000
NGC7631       21.804217       21.077349       20.536992     0.894960      1.02168      1.08108      3.62000      7.70000      4.70000
NGC7653       21.718701       20.740953       19.934258      1.00584      1.02564     0.918720      2.28000      5.43000      6.19000
NGC7671       21.513301       21.205959       20.858730      1.44144      1.44144      1.44144      2.69000      2.69000      2.69000
NGC7683       22.003507       21.085805       20.300644      1.29888      1.22760      1.08900      4.92000      3.92000      2.90000
NGC7683       22.003507       21.085805       20.300644      1.29888      1.22760      1.08900      4.92000      3.92000      2.90000
NGC7691       21.744108       20.763324       19.915808     0.993960      1.17216      1.24740      3.87000      9.86000      8.97000
UGC12653       21.696701       20.791417       20.019468      1.07712     0.910800      1.38600      4.20000      4.50000      5.00000
NGC7716       21.793898       20.761691       19.955470      1.33848      1.19988      1.23156      3.28000      3.56000      2.75000
NGC7722       21.745158       20.769914       19.913188     0.930600      1.20384      1.50084      5.14000      11.1200      11.7900
NGC7738       21.617009       20.713386       19.889663      1.42164      1.02960      1.09692      9.02000      5.60000      3.03000
UGC12810       21.798908       20.752445       19.940353      1.11672      1.06128      1.11672      4.96000      6.49000      6.83000
UGC12816       22.007625       21.035786       20.237049      1.35432      1.29096      1.10880      3.50000      6.78000      3.30000
NGC7782       21.811609       21.036694       20.535357     0.819720     0.883080     0.784080      5.23000      6.33000      5.93000
NGC7787       21.636880       20.766434       19.933670      1.29492      1.02168     0.997920      3.80000      3.29000      3.18000
UGC12864       22.002051       21.123280       20.437890      1.30680      1.26720      1.14840      4.20000      4.00000      4.80000
NGC0014       20.970123       21.617234       19.924155     0.970992     0.998712     0.984456      3.84800      5.83400      6.77200
MCG-02-06-016       21.061785       21.626858       19.969840      1.44382      1.53331      1.31710      4.63800      5.38600      4.01600
IC0225       20.981033       21.321864       20.149283      1.25928      1.06682      1.12385      7.49000      4.69400      4.66800
UGC04455       21.047264       21.358784       20.360629      1.43273      1.63469      1.42956      5.19400      6.04400      4.07600
MRK1418       21.013939       21.769270       20.067453      1.10642      1.23077      1.03594      3.32600      3.35200      3.03600
UGC05187       20.936151       21.682640       19.928900      1.20622      1.14048      1.22206      4.25200      3.78600      2.57200
UGC05377       21.476051       21.503409       20.651955      1.25928      1.24423      1.04544      3.30000      7.31400      4.66000
IC2604       21.055260       21.792525       21.270155     0.911592      1.18087      1.06524      4.22600      5.67600      7.74000
UGC05976       21.133073       21.618247       20.195873      1.17850      1.25215      1.16186      5.64200      4.40000      5.22800
UGC06181       21.812769       20.852691       20.024986     0.982080      1.01930     0.973368      3.59600      6.85000      6.05200
UGC06249       21.345260       21.556365       20.581833      1.41530      1.46599      1.31551      6.13800      5.81000      5.90200
NGC3655       21.662888       20.636883       19.842608      1.09058      1.13177     0.955152      4.29800      4.08600      5.56000
MCG+10-17-007       21.342438       21.882426       20.244246      1.41055      1.24740      1.38125      3.25600      3.42800      3.88400
NGC3773       21.143381       21.357820       20.390204      1.19830      1.50797      1.29967      3.36200      5.06200      2.68800
UGC06616       21.340669       21.894217       20.205994      1.41610      1.47154      1.35036      3.23000      3.31800      3.18200
NGC3913       21.099376       21.725622       20.231871      1.09296      1.23473      1.06366      4.30400      4.91200      3.29800
UGC06930       21.501871       21.883088       20.330790     0.983664      1.17137     0.933768      6.98200      4.96600      4.02400
UGC07129       21.220420       21.522764       20.250261     0.990000      1.08900      1.02960      4.88000      3.98000      3.61000
IC3065       21.159712       21.503288       20.332486     0.875160      1.10484     0.871200      6.53000      7.51000      7.81000
IC3065       21.159712       21.503288       20.332486     0.875160      1.10484     0.871200      6.53000      7.51000      7.81000
IC3586       21.447729       21.634479       20.398987      1.03118      1.25057     0.992376      5.78000      5.54800      7.15200
IC3652       20.697303       21.207364       19.604131      1.26324      1.50876      1.34640      3.71000      2.69000      4.55000
IC3652       20.697303       21.207364       19.604131      1.26324      1.50876      1.34640      3.71000      2.69000      4.55000
NGC4630       21.434518       21.385205       20.504026      1.35036      1.29096      1.29492      4.88000      5.18000      4.56000
MCG-01-33-007       21.364483       21.813053       20.373880     0.982080     0.934560      1.01376      7.22000      1.66000      7.39000
UGC08909       21.323535       21.907470       20.382265     0.997920      1.14840     0.938520      3.70000      6.31000      2.70000
UGC09663       22.152953       20.909759       20.025316      1.30680      1.18404      1.12860      3.89000      3.29000      4.42000
UGC09661       20.877219       21.443027       19.735917     0.914760      1.04940     0.887040      7.21000      1.91000      7.91000
NGC0495       21.293997       21.392842       20.611862      3.44916      1.10484     0.958320      3.39000      4.66000      4.65000
CGCG536-030       21.717807       22.072296       20.557672      1.02564      1.23948      1.19988      2.67000      3.09000      4.11000
IC0208       21.177044       21.767221       19.909472     0.990000      1.15236     0.954360      2.29000      6.67000      2.23000
KUG1349+143       21.355291       21.742478       20.209653     0.863280      1.02960     0.708840      5.22000      8.16000      2.01000
NGC5481       21.224117       21.601391       20.041272      1.14840      1.43748      1.15632      3.62000      4.98000      3.83000
CGCG163-062       21.434218       21.719803       20.453482      1.26720      1.26720     0.997920      3.48000      3.44000      4.13000
NGC5794       21.337104       21.913223       20.143325      1.21572      1.12860      1.00188      3.44000      4.60000      4.82000
IC1078       21.296697       21.642075       20.299761      1.42956      1.44144      1.33056      2.63000      5.51000      6.54000
UGC09708       21.422180       21.619011       20.340210      1.11276      1.40976     0.898920      5.59000      4.59000      2.26000
NGC6977       20.671455       20.660371       19.659437     0.851400     0.970200     0.803880      6.50000      4.60000      5.70000
NGC7559B       21.173129       21.187912       20.032075     0.950400     0.997920     0.954360      5.30000      4.40000      5.00000
NGC0507       21.857142       22.016652       20.910612      1.21968      1.06524      1.10484      4.40000      4.50000      5.70000
NGC0515       21.723047       22.076640       20.609988      1.20780      1.19592      1.10484      4.60000      5.30000      2.90000
NGC6023       21.614684       21.960056       20.320705      1.00188      1.08108      1.01376      5.70000      3.80000      4.50000
NGC6023       21.614684       21.960056       20.320705      1.00188      1.08108      1.01376      5.70000      3.80000      4.50000
UGC12494NOTES01       21.764610       21.021927       20.515935     0.876744     0.749232     0.685080      5.57600      7.73200      9.59800
MCG-02-02-086       20.737541       21.520674       19.642364      1.10880      1.14840     0.982080      6.40000      4.70000      4.70000
IC1602       20.749468       21.452018       19.622711     0.910800      1.19592     0.946440      4.30000      5.30000      4.40000
IC1602       20.749468       21.452018       19.622711     0.910800      1.19592     0.946440      4.30000      5.30000      4.40000
NGC0548       21.364221       21.450512       20.166626      1.00980      1.04940      1.04940      4.50000      4.50000      6.70000
NGC0647       20.938840       21.486487       19.704917      1.11276      1.18800      1.01772      4.40000      5.20000      4.60000
UGC01370       21.009946       21.376467       20.149641      1.15236      1.22364      1.08504      4.30000      6.00000      5.00000
UGC03960       21.268686       21.566203       20.213005      1.25136      1.46520      1.11672      3.70000      2.80000      5.50000
UGC03960       21.268686       21.566203       20.213005      1.25136      1.46520      1.11672      3.70000      2.80000      5.50000
LSBCF560-04       21.194890       21.532866       20.204055      1.14444      1.29096     0.986040      4.00000      5.30000      3.60000
MCG+07-17-002       20.924482       21.153266       20.090593      1.02168      1.08108     0.982080      5.20000      5.50000      4.90000
MCG+07-17-002       20.924482       21.153266       20.090593      1.02168      1.08108     0.982080      5.20000      5.50000      4.90000
NGC2484       21.303252       21.604900       20.379738      1.27116      1.33848      1.13652      4.70000      4.90000      5.10000
NGC2484       21.303252       21.604900       20.379738      1.27116      1.33848      1.13652      4.70000      4.90000      5.10000
UGC04256       21.048732       21.145829       20.229776      1.28304      1.31868      1.04148      4.60000      4.40000      4.20000
IC2378       21.048813       21.339646       20.048686      1.02168      1.30284      1.26324      3.76000      2.99000      2.89000
IC2378       21.048813       21.339646       20.048686      1.02168      1.30284      1.65924      3.76000      2.99000      2.89000
UGC04458       21.235037       21.477196       20.471967      1.47708      1.50480      1.19988      4.36000      4.08000      5.96000
UGC04458       21.235037       21.477196       20.471967      1.55628      1.50480      1.59588      4.36000      4.08000      5.96000
IC2402       21.234595       21.729648       20.328566      1.24344      1.35036      1.12068      2.93000      2.19000      2.67000
IC2402       21.234595       21.729648       20.328566      1.24344      1.35036      1.12068      2.93000      2.19000      2.67000
NGC2691       21.427133       21.776508       20.228991      1.23156      1.15236      2.80764      4.01000      7.01000      5.64000
UGC04730       20.856537       21.647355       19.819132      1.15236      1.33452     0.954360      5.38000      6.36000      4.21000
2MASXJ09065870       21.201876       21.728565       19.954426     0.839520      1.06128     0.942480      5.93000      8.72000      3.55000
2MASXJ09065870       21.201876       21.728565       19.954426     0.839520      1.06128     0.942480      5.93000      8.72000      3.55000
NGC2780       21.189469       21.730154       20.266507      1.21968      1.42560     0.930600      2.69000      3.23000      3.45000
MCG+09-18-064       21.101258       21.730090       20.251142      1.30680      1.61172      1.21968      2.69000      3.80000      2.21000
UGC06517       21.368622       21.761398       20.465033      1.45728      1.32660      1.44540      4.23000      4.14000      3.27000
CGCG242-073       21.050799       21.658787       19.995099      1.33848      1.61964      1.20780      3.66000      3.68000      5.65000
NGC3896       21.623576       21.746093       20.442121      1.28700      1.39788      1.37016      3.71000      3.40000      3.77000
NGC5145       21.567002       21.886642       20.579761      1.42560      1.33056      1.40580      2.72000      3.66000      3.52000
UGC09356       21.577946       21.637865       20.438440      1.06128      1.10484      1.00980      5.19000      6.43000      5.49000
UGC09868       21.464962       21.766695       20.221903      1.71072      1.76220      1.43748      8.68000      4.81000      3.68000
NGC5950       21.574067       21.907036       20.634117      1.07712      1.15236     0.883080      6.70000      3.42000      3.06000
UGC10803       20.954460       21.374410       20.114788     0.843480     0.982080     0.843480      4.64000      3.02000      5.22000
MCG-01-52-012       20.719298       21.440534       19.763014     0.819720     0.914760     0.803880      7.31000      2.71000      5.01000
CGCG429-012       20.831924       21.488083       19.898563      1.08900     0.827640      1.02168      8.02000      2.14000      8.88000
CGCG429-012       20.831924       21.488083       19.898563      1.08900     0.946440      1.02168      8.02000      2.14000      8.88000
UGC09837       21.569939       21.760330       20.186850      1.18008      1.09296      1.18800      5.09000      4.24000      5.80000
UGC12250       21.183281       21.221959       20.013003      1.02960      1.06128      1.05336      7.55000      7.81000      5.81000
NGC5947       21.958195       20.976879       20.435337      1.31076      1.07316     0.970200      5.11000      4.38000      4.80000
NGC1590       21.990562       20.778907       20.084007      1.01772     0.950400     0.788040      3.39000      6.08000      3.62000
UGC03552       22.040628       20.778682       20.059884     0.854568     0.763488     0.715968      3.79600      5.59200      5.16750
NGC2526       22.157772       21.251885       20.744308      1.25294      1.01376     0.999504      3.25200      6.91200      4.76000
IC2481       21.942606       21.072018       20.553829      1.44302      1.26007      1.13731      5.07200      4.04600      4.91000
NGC3323       22.105164       20.952128       20.072894      1.12226      1.02485      1.05415      4.20000      3.79800      4.47600
NGC4384       21.948571       20.899167       20.071240      1.20859      1.18958      1.00822      4.06400      4.07800      3.97000
IC3918       22.071346       21.178309       20.553704      1.44461      1.06366      1.05890      2.70200      3.78400      3.55000
MCG+09-22-053       21.739464       21.058745       20.599909      1.32898      1.15157      1.07950      5.46600      4.87200      6.34600
NGC0426       21.151179       21.538869       20.026764     0.938520      1.16820     0.839520      2.60000      6.47000      3.29000
NGC0426       21.151179       21.538869       20.026764     0.938520      1.16820     0.839520      2.60000      6.47000      3.29000
NGC0472       22.387440       21.428001       20.648506      1.35828      1.22364      1.14840      3.76000      4.81000      4.79000
NGC0472       22.387440       21.428001       20.648506      1.35828      1.22364      1.14840      3.76000      4.81000      4.79000
NGC1281       21.994371       20.881142       20.227569      1.28225      1.21414      1.11514      5.59800      9.07000      6.58600
NGC2767       22.001735       21.070416       20.434611      1.28304      1.20780      1.02168      3.19000      3.25000      6.15000
PGC11179       22.099347       20.996874       20.139691      1.17137     0.947232     0.924264      5.33400      6.36400      7.22400
